gene_id,cell_type,log2FC,pval,padj,score
ZNF652,Excitatory_neuron,0.23483762,0.00022122784374867222,0.5669259761677113,3.6934547
DCAF1,Excitatory_neuron,0.34951824,0.0002934278077338184,0.5669259761677113,3.6210341
UBXN7,Excitatory_neuron,0.23528147,0.0002934278077338184,0.5669259761677113,3.6210341
PKN1,Excitatory_neuron,0.64821565,0.00038726514662846347,0.5669259761677113,3.5486135
KCMF1,Excitatory_neuron,0.22165598,0.00038726514662846347,0.5669259761677113,3.5486135
KDM6A,Excitatory_neuron,0.2728278,0.00038726514662846347,0.5669259761677113,3.5486135
USP54,Excitatory_neuron,0.40402266,0.000508586601400961,0.5669259761677113,3.4761927
HPSE,Excitatory_neuron,1.9538456,0.000508586601400961,0.5669259761677113,3.4761927
PHF12,Excitatory_neuron,0.31153172,0.0006646218651074349,0.5669259761677113,3.403772
LARP4,Excitatory_neuron,0.30062655,0.0006646218651074349,0.5669259761677113,3.403772
ANKRD44,Excitatory_neuron,0.55580807,0.000864254313509573,0.5669259761677113,3.3313513
ENSG00000287124,Excitatory_neuron,0.9116174,0.000864254313509573,0.5669259761677113,3.3313513
HFM1,Excitatory_neuron,0.8038809,0.000864254313509573,0.5669259761677113,3.3313513
ARVCF,Excitatory_neuron,0.3244691,0.000864254313509573,0.5669259761677113,3.3313513
SOCS7,Excitatory_neuron,0.21443729,0.000864254313509573,0.5669259761677113,3.3313513
ATAD2B,Excitatory_neuron,0.30275634,0.000864254313509573,0.5669259761677113,3.3313513
ENSG00000286743,Excitatory_neuron,3.0710049,0.0009837228948512819,0.5669259761677113,3.295141
KLF15,Excitatory_neuron,0.8362557,0.001118329779822862,0.5669259761677113,3.2589307
SH3BP5-AS1,Excitatory_neuron,0.44111007,0.001118329779822862,0.5669259761677113,3.2589307
LMNB2,Excitatory_neuron,0.39510444,0.001118329779822862,0.5669259761677113,3.2589307
PAWR,Excitatory_neuron,1.0305165,0.001118329779822862,0.5669259761677113,3.2589307
SLC4A5,Excitatory_neuron,0.891346,0.001118329779822862,0.5669259761677113,3.2589307
DDX59,Excitatory_neuron,0.5255982,0.001118329779822862,0.5669259761677113,3.2589307
DPY19L3,Excitatory_neuron,0.60802436,0.001118329779822862,0.5669259761677113,3.2589307
C19orf47,Excitatory_neuron,0.48442346,0.0014400049605949178,0.5669259761677113,3.18651
PPP1R26,Excitatory_neuron,0.51168245,0.0014400049605949178,0.5669259761677113,3.18651
SLC4A7,Excitatory_neuron,0.4124161,0.0014400049605949178,0.5669259761677113,3.18651
LRIG2,Excitatory_neuron,0.21403208,0.0014400049605949178,0.5669259761677113,3.18651
SIN3A,Excitatory_neuron,0.25500366,0.0014400049605949178,0.5669259761677113,3.18651
PRRC2A,Excitatory_neuron,0.31866726,0.0014400049605949178,0.5669259761677113,3.18651
FOXJ2,Excitatory_neuron,0.41370192,0.0014400049605949178,0.5669259761677113,3.18651
TAF2,Excitatory_neuron,0.14608297,0.0014400049605949178,0.5669259761677113,3.18651
C1orf198,Excitatory_neuron,0.5531757,0.0014400049605949178,0.5669259761677113,3.18651
PYGO1,Excitatory_neuron,0.9703773,0.0014400049605949178,0.5669259761677113,3.18651
ENSG00000258634,Excitatory_neuron,0.9467214,0.0016310306154487433,0.5669259761677113,3.1502998
FLVCR1,Excitatory_neuron,0.44501033,0.0018451360766829454,0.5669259761677113,3.1140893
STRN3,Excitatory_neuron,0.18239103,0.0018451360766829454,0.5669259761677113,3.1140893
DZIP1,Excitatory_neuron,0.29295197,0.0018451360766829454,0.5669259761677113,3.1140893
FAM13A-AS1,Excitatory_neuron,0.36828545,0.0018451360766829454,0.5669259761677113,3.1140893
ARID4B,Excitatory_neuron,0.20181863,0.0018451360766829454,0.5669259761677113,3.1140893
SHLD2,Excitatory_neuron,0.3283275,0.0018451360766829454,0.5669259761677113,3.1140893
ENSG00000214719,Excitatory_neuron,0.74350935,0.0018451360766829454,0.5669259761677113,3.1140893
ENSG00000259326,Excitatory_neuron,0.75049657,0.0018451360766829454,0.5669259761677113,3.1140893
NAA15,Excitatory_neuron,0.2155192,0.0018451360766829454,0.5669259761677113,3.1140893
SFMBT1,Excitatory_neuron,0.24096099,0.0018451360766829454,0.5669259761677113,3.1140893
FOXO3B,Excitatory_neuron,0.61018324,0.0018451360766829454,0.5669259761677113,3.1140893
MALINC1,Excitatory_neuron,0.4298561,0.002352707159580203,0.5669259761677113,3.0416687
ENSG00000286977,Excitatory_neuron,0.8252242,0.002352707159580203,0.5669259761677113,3.0416687
NACC2,Excitatory_neuron,0.898458,0.002352707159580203,0.5669259761677113,3.0416687
ENSG00000243107,Excitatory_neuron,1.6171031,0.002352707159580203,0.5669259761677113,3.0416687
FANCE,Excitatory_neuron,1.2420914,0.002352707159580203,0.5669259761677113,3.0416687
TGFB2,Excitatory_neuron,0.45296767,0.002352707159580203,0.5669259761677113,3.0416687
BLTP3A,Excitatory_neuron,0.2813554,0.002352707159580203,0.5669259761677113,3.0416687
SPDL1,Excitatory_neuron,0.47292253,0.002352707159580203,0.5669259761677113,3.0416687
ARIH1,Excitatory_neuron,0.1435677,0.002352707159580203,0.5669259761677113,3.0416687
C1orf162,Excitatory_neuron,0.37615556,0.002352707159580203,0.5669259761677113,3.0416687
LINC00869,Excitatory_neuron,0.29227832,0.002352707159580203,0.5669259761677113,3.0416687
HBEGF,Excitatory_neuron,0.55579835,0.002352707159580203,0.5669259761677113,3.0416687
ACACB,Excitatory_neuron,0.5486227,0.002352707159580203,0.5669259761677113,3.0416687
LINC02755,Excitatory_neuron,0.979605,0.002352707159580203,0.5669259761677113,3.0416687
GAPVD1,Excitatory_neuron,0.22603957,0.002352707159580203,0.5669259761677113,3.0416687
ALB,Excitatory_neuron,1.8707879,0.002352707159580203,0.5669259761677113,3.0416687
NOVA2,Excitatory_neuron,0.43550935,0.002352707159580203,0.5669259761677113,3.0416687
AFF4,Excitatory_neuron,0.18451938,0.0029852957689667763,0.5669259761677113,2.969248
UBE2G1,Excitatory_neuron,0.17086752,0.0029852957689667763,0.5669259761677113,2.969248
ENSG00000286501,Excitatory_neuron,3.4701726,0.0029852957689667763,0.5669259761677113,2.969248
LINC02652,Excitatory_neuron,1.8849064,0.0029852957689667763,0.5669259761677113,2.969248
HERC2P3,Excitatory_neuron,0.9834029,0.0029852957689667763,0.5669259761677113,2.969248
TRIM67,Excitatory_neuron,1.4681768,0.0029852957689667763,0.5669259761677113,2.969248
FAM120C,Excitatory_neuron,0.22239062,0.0029852957689667763,0.5669259761677113,2.969248
KAT14,Excitatory_neuron,0.1890935,0.0029852957689667763,0.5669259761677113,2.969248
SETD2,Excitatory_neuron,0.19513175,0.0029852957689667763,0.5669259761677113,2.969248
PHLDB1,Excitatory_neuron,1.0803283,0.0029852957689667763,0.5669259761677113,2.969248
NPIPA9,Excitatory_neuron,0.84230536,0.0029852957689667763,0.5669259761677113,2.969248
SENP6,Excitatory_neuron,0.17355002,0.0029852957689667763,0.5669259761677113,2.969248
ENSG00000268362,Excitatory_neuron,0.43702072,0.0029852957689667763,0.5669259761677113,2.969248
LINC01551,Excitatory_neuron,0.32118285,0.0029852957689667763,0.5669259761677113,2.969248
MECP2,Excitatory_neuron,0.22495037,0.0029852957689667763,0.5669259761677113,2.969248
MYH15,Excitatory_neuron,1.6972867,0.0029852957689667763,0.5669259761677113,2.969248
ZNF440,Excitatory_neuron,0.3944709,0.0029852957689667763,0.5669259761677113,2.969248
ZNF200,Excitatory_neuron,0.38471577,0.0029852957689667763,0.5669259761677113,2.969248
EPM2A,Excitatory_neuron,0.41877854,0.0029852957689667763,0.5669259761677113,2.969248
N4BP1,Excitatory_neuron,0.1576298,0.00376957206341765,0.5669259761677113,2.8968272
KDM3B,Excitatory_neuron,0.28314447,0.00376957206341765,0.5669259761677113,2.8968272
LINC02649,Excitatory_neuron,1.8717843,0.00376957206341765,0.5669259761677113,2.8968272
RPS6KA1,Excitatory_neuron,0.61776584,0.00376957206341765,0.5669259761677113,2.8968272
ENSG00000287868,Excitatory_neuron,0.8881414,0.00376957206341765,0.5669259761677113,2.8968272
KDM5C,Excitatory_neuron,0.5863742,0.00376957206341765,0.5669259761677113,2.8968272
F11-AS1,Excitatory_neuron,0.985951,0.00376957206341765,0.5669259761677113,2.8968272
ENSG00000287507,Excitatory_neuron,1.6687505,0.00376957206341765,0.5669259761677113,2.8968272
LINC02284,Excitatory_neuron,0.9576758,0.00376957206341765,0.5669259761677113,2.8968272
ENSG00000287999,Excitatory_neuron,0.923589,0.00376957206341765,0.5669259761677113,2.8968272
PIK3R3,Excitatory_neuron,0.35799307,0.00376957206341765,0.5669259761677113,2.8968272
ENSG00000228031,Excitatory_neuron,1.4645898,0.004228175646653337,0.5669259761677113,2.860617
BEND3,Excitatory_neuron,0.6847656,0.004736824948280188,0.5669259761677113,2.8244066
LINC01429,Excitatory_neuron,1.6060565,0.004736824948280188,0.5669259761677113,2.8244066
PVR,Excitatory_neuron,0.3092642,0.004736824948280188,0.5669259761677113,2.8244066
CEP78,Excitatory_neuron,0.25260383,0.004736824948280188,0.5669259761677113,2.8244066
MACO1,Excitatory_neuron,0.19010498,0.004736824948280188,0.5669259761677113,2.8244066
SLC9A1,Excitatory_neuron,0.29914248,0.004736824948280188,0.5669259761677113,2.8244066
L2HGDH,Excitatory_neuron,0.31807998,0.004736824948280188,0.5669259761677113,2.8244066
SOS2,Excitatory_neuron,0.1440945,0.004736824948280188,0.5669259761677113,2.8244066
SMARCC1,Excitatory_neuron,0.30538893,0.004736824948280188,0.5669259761677113,2.8244066
ENSG00000226578,Excitatory_neuron,0.85961705,0.004736824948280188,0.5669259761677113,2.8244066
GNAS-AS1,Excitatory_neuron,2.1329498,0.004736824948280188,0.5669259761677113,2.8244066
CDC25A,Excitatory_neuron,1.5966411,0.004736824948280188,0.5669259761677113,2.8244066
MBTPS2,Excitatory_neuron,0.39865467,0.004736824948280188,0.5669259761677113,2.8244066
CLMN,Excitatory_neuron,0.6880555,0.004736824948280188,0.5669259761677113,2.8244066
STK33,Excitatory_neuron,1.1583227,0.004736824948280188,0.5669259761677113,2.8244066
ENSG00000260948,Excitatory_neuron,0.52778214,0.004736824948280188,0.5669259761677113,2.8244066
KHNYN,Excitatory_neuron,0.5532409,0.004736824948280188,0.5669259761677113,2.8244066
DHTKD1,Excitatory_neuron,0.51459837,0.004736824948280188,0.5669259761677113,2.8244066
MSI1,Excitatory_neuron,0.70077986,0.004736824948280188,0.5669259761677113,2.8244066
RAPGEF3,Excitatory_neuron,0.72815144,0.004736824948280188,0.5669259761677113,2.8244066
SRPK2,Excitatory_neuron,0.09200937,0.004736824948280188,0.5669259761677113,2.8244066
ENSG00000289289,Excitatory_neuron,1.6328695,0.004736824948280188,0.5669259761677113,2.8244066
EDIL3,Excitatory_neuron,0.27912062,0.004736824948280188,0.5669259761677113,2.8244066
SMARCA1,Excitatory_neuron,0.27303547,0.004736824948280188,0.5669259761677113,2.8244066
PBX4,Excitatory_neuron,0.79052055,0.004736824948280188,0.5669259761677113,2.8244066
ZNF264,Excitatory_neuron,0.21903278,0.004736824948280188,0.5669259761677113,2.8244066
ERMARD,Excitatory_neuron,0.35493964,0.004736824948280188,0.5669259761677113,2.8244066
RELL1,Excitatory_neuron,0.71709436,0.004736824948280188,0.5669259761677113,2.8244066
S100PBP,Excitatory_neuron,0.3048304,0.004736824948280188,0.5669259761677113,2.8244066
IGDCC3,Excitatory_neuron,0.5582253,0.004736824948280188,0.5669259761677113,2.8244066
ENSG00000231964,Excitatory_neuron,1.469287,0.005923506536343936,0.5669259761677113,2.751986
ENSG00000228044,Excitatory_neuron,0.49313772,0.005923506536343936,0.5669259761677113,2.751986
ENSG00000290368,Excitatory_neuron,1.7662293,0.005923506536343936,0.5669259761677113,2.751986
PLXND1,Excitatory_neuron,0.43894124,0.005923506536343936,0.5669259761677113,2.751986
ENSG00000291214,Excitatory_neuron,0.33571312,0.005923506536343936,0.5669259761677113,2.751986
CHD1,Excitatory_neuron,0.21608225,0.005923506536343936,0.5669259761677113,2.751986
CLCN6,Excitatory_neuron,0.18875788,0.005923506536343936,0.5669259761677113,2.751986
SOGA1,Excitatory_neuron,0.36369374,0.005923506536343936,0.5669259761677113,2.751986
TRIM33,Excitatory_neuron,0.21832286,0.005923506536343936,0.5669259761677113,2.751986
THOC2,Excitatory_neuron,0.22887552,0.005923506536343936,0.5669259761677113,2.751986
LARP4B,Excitatory_neuron,0.15582876,0.005923506536343936,0.5669259761677113,2.751986
YES1,Excitatory_neuron,0.704767,0.005923506536343936,0.5669259761677113,2.751986
ZNF566,Excitatory_neuron,0.16355021,0.005923506536343936,0.5669259761677113,2.751986
ENSG00000227042,Excitatory_neuron,0.8001037,0.005923506536343936,0.5669259761677113,2.751986
UBE2K,Excitatory_neuron,0.18515651,0.005923506536343936,0.5669259761677113,2.751986
GIPC1,Excitatory_neuron,0.59351444,0.005923506536343936,0.5669259761677113,2.751986
ENSG00000290784,Excitatory_neuron,0.31170243,0.005923506536343936,0.5669259761677113,2.751986
SUPT6H,Excitatory_neuron,0.19508682,0.005923506536343936,0.5669259761677113,2.751986
HNRNPU,Excitatory_neuron,0.18227905,0.005923506536343936,0.5669259761677113,2.751986
HABP4,Excitatory_neuron,0.23254551,0.005923506536343936,0.5669259761677113,2.751986
BTLA,Excitatory_neuron,1.1967727,0.00661207194255799,0.5669259761677113,2.7157755
EP300,Excitatory_neuron,0.15450507,0.0073717834226379704,0.5669259761677113,2.6795652
LINC00623,Excitatory_neuron,0.35036436,0.0073717834226379704,0.5669259761677113,2.6795652
SHPK,Excitatory_neuron,0.38849217,0.0073717834226379704,0.5669259761677113,2.6795652
NKTR,Excitatory_neuron,0.2720339,0.0073717834226379704,0.5669259761677113,2.6795652
PPIP5K2,Excitatory_neuron,0.19349776,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000237359,Excitatory_neuron,1.1368362,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000274080,Excitatory_neuron,0.8818706,0.0073717834226379704,0.5669259761677113,2.6795652
HCN4,Excitatory_neuron,1.3929052,0.0073717834226379704,0.5669259761677113,2.6795652
ECPAS,Excitatory_neuron,0.14503436,0.0073717834226379704,0.5669259761677113,2.6795652
LINC02551,Excitatory_neuron,0.7601795,0.0073717834226379704,0.5669259761677113,2.6795652
SENP5,Excitatory_neuron,0.2765836,0.0073717834226379704,0.5669259761677113,2.6795652
WDR1,Excitatory_neuron,0.450354,0.0073717834226379704,0.5669259761677113,2.6795652
INSYN2A,Excitatory_neuron,0.52569157,0.0073717834226379704,0.5669259761677113,2.6795652
LINC01483,Excitatory_neuron,0.32827973,0.0073717834226379704,0.5669259761677113,2.6795652
HIPK2,Excitatory_neuron,0.36706161,0.0073717834226379704,0.5669259761677113,2.6795652
VPS45,Excitatory_neuron,0.28343323,0.0073717834226379704,0.5669259761677113,2.6795652
GIGYF2,Excitatory_neuron,0.19670369,0.0073717834226379704,0.5669259761677113,2.6795652
GPC5-IT1,Excitatory_neuron,3.524481,0.0073717834226379704,0.5669259761677113,2.6795652
IDE,Excitatory_neuron,0.1741236,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000253392,Excitatory_neuron,0.497062,0.0073717834226379704,0.5669259761677113,2.6795652
BMS1P14,Excitatory_neuron,0.9412548,0.0073717834226379704,0.5669259761677113,2.6795652
ZNF510,Excitatory_neuron,0.26272228,0.0073717834226379704,0.5669259761677113,2.6795652
PRPSAP2,Excitatory_neuron,0.30829978,0.0073717834226379704,0.5669259761677113,2.6795652
TDO2,Excitatory_neuron,0.70394945,0.0073717834226379704,0.5669259761677113,2.6795652
ARHGAP23,Excitatory_neuron,0.3634652,0.0073717834226379704,0.5669259761677113,2.6795652
CLIP4,Excitatory_neuron,0.21005625,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000273308,Excitatory_neuron,1.1570355,0.0073717834226379704,0.5669259761677113,2.6795652
CIP2A,Excitatory_neuron,0.611541,0.0073717834226379704,0.5669259761677113,2.6795652
ARID1A,Excitatory_neuron,0.1967497,0.0073717834226379704,0.5669259761677113,2.6795652
RSPRY1,Excitatory_neuron,0.2719443,0.0073717834226379704,0.5669259761677113,2.6795652
MORN3,Excitatory_neuron,0.5804049,0.0073717834226379704,0.5669259761677113,2.6795652
ANK1,Excitatory_neuron,0.9908674,0.0073717834226379704,0.5669259761677113,2.6795652
SGPP1,Excitatory_neuron,0.19410425,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000286786,Excitatory_neuron,0.3791303,0.0073717834226379704,0.5669259761677113,2.6795652
CGAS,Excitatory_neuron,0.9665787,0.0073717834226379704,0.5669259761677113,2.6795652
TAS2R31,Excitatory_neuron,0.6491331,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000265844,Excitatory_neuron,1.232206,0.0073717834226379704,0.5669259761677113,2.6795652
LINC01002,Excitatory_neuron,0.71094763,0.0073717834226379704,0.5669259761677113,2.6795652
ZNF445,Excitatory_neuron,0.20072615,0.0073717834226379704,0.5669259761677113,2.6795652
ZNF292,Excitatory_neuron,0.1886475,0.0073717834226379704,0.5669259761677113,2.6795652
SAFB,Excitatory_neuron,0.20399956,0.0073717834226379704,0.5669259761677113,2.6795652
ZNF555,Excitatory_neuron,0.41295633,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000286754,Excitatory_neuron,1.7043064,0.0073717834226379704,0.5669259761677113,2.6795652
HNRNPUL1,Excitatory_neuron,0.2774162,0.0073717834226379704,0.5669259761677113,2.6795652
KAT6A,Excitatory_neuron,0.24786308,0.0073717834226379704,0.5669259761677113,2.6795652
SLC11A2,Excitatory_neuron,0.27145103,0.0073717834226379704,0.5669259761677113,2.6795652
ZNF248,Excitatory_neuron,0.26239523,0.0073717834226379704,0.5669259761677113,2.6795652
SLC16A9,Excitatory_neuron,1.5283011,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000288800,Excitatory_neuron,1.3451754,0.0073717834226379704,0.5669259761677113,2.6795652
SCGN,Excitatory_neuron,1.800459,0.0073717834226379704,0.5669259761677113,2.6795652
ENSG00000259039,Excitatory_neuron,1.5630798,0.008208893940349985,0.5669259761677113,2.643355
ENSG00000287520,Excitatory_neuron,1.3948488,0.008208893940349985,0.5669259761677113,2.643355
ENSG00000247131,Excitatory_neuron,1.2601446,0.008208893940349985,0.5669259761677113,2.643355
BICDL1,Excitatory_neuron,0.20529726,0.009130080362707644,0.5669259761677113,2.6071446
KIF1B,Excitatory_neuron,0.10910771,0.009130080362707644,0.5669259761677113,2.6071446
PADI2,Excitatory_neuron,0.48266813,0.009130080362707644,0.5669259761677113,2.6071446
SLC25A33,Excitatory_neuron,0.26992965,0.009130080362707644,0.5669259761677113,2.6071446
TMED3,Excitatory_neuron,0.3257677,0.009130080362707644,0.5669259761677113,2.6071446
ENSG00000273211,Excitatory_neuron,0.86071205,0.009130080362707644,0.5669259761677113,2.6071446
MTSS1,Excitatory_neuron,0.33515292,0.009130080362707644,0.5669259761677113,2.6071446
RAB10,Excitatory_neuron,0.19544141,0.009130080362707644,0.5669259761677113,2.6071446
NYNRIN,Excitatory_neuron,0.9768929,0.009130080362707644,0.5669259761677113,2.6071446
ENSG00000251680,Excitatory_neuron,0.47023785,0.009130080362707644,0.5669259761677113,2.6071446
SHMT1,Excitatory_neuron,0.39628983,0.009130080362707644,0.5669259761677113,2.6071446
PARP6,Excitatory_neuron,0.099849276,0.009130080362707644,0.5669259761677113,2.6071446
MDM2,Excitatory_neuron,0.18062326,0.009130080362707644,0.5669259761677113,2.6071446
STAT5B,Excitatory_neuron,0.20026158,0.009130080362707644,0.5669259761677113,2.6071446
ABAT,Excitatory_neuron,0.1325631,0.009130080362707644,0.5669259761677113,2.6071446
TTC21B,Excitatory_neuron,0.20986477,0.009130080362707644,0.5669259761677113,2.6071446
KLHDC10,Excitatory_neuron,0.20681718,0.009130080362707644,0.5669259761677113,2.6071446
P2RY11,Excitatory_neuron,0.66274583,0.009130080362707644,0.5669259761677113,2.6071446
REELD1,Excitatory_neuron,2.5995104,0.009130080362707644,0.5669259761677113,2.6071446
LINC01138,Excitatory_neuron,0.281593,0.009130080362707644,0.5669259761677113,2.6071446
DPY19L4,Excitatory_neuron,0.23777193,0.009130080362707644,0.5669259761677113,2.6071446
UBR1,Excitatory_neuron,0.17388153,0.009130080362707644,0.5669259761677113,2.6071446
TBXAS1,Excitatory_neuron,1.2241889,0.009130080362707644,0.5669259761677113,2.6071446
TUT4,Excitatory_neuron,0.23293038,0.009130080362707644,0.5669259761677113,2.6071446
GPC5,Excitatory_neuron,0.46991062,0.009130080362707644,0.5669259761677113,2.6071446
LCORL,Excitatory_neuron,0.293639,0.009130080362707644,0.5669259761677113,2.6071446
GLDN,Excitatory_neuron,0.9963819,0.009130080362707644,0.5669259761677113,2.6071446
ENSG00000288056,Excitatory_neuron,2.0242548,0.009130080362707644,0.5669259761677113,2.6071446
ATP9A,Excitatory_neuron,0.11524619,0.009130080362707644,0.5669259761677113,2.6071446
SLC9C2,Excitatory_neuron,0.5455759,0.009130080362707644,0.5669259761677113,2.6071446
ALDH1A2,Excitatory_neuron,0.5726023,0.009130080362707644,0.5669259761677113,2.6071446
BRD2,Excitatory_neuron,0.29437378,0.009130080362707644,0.5669259761677113,2.6071446
AFF1,Excitatory_neuron,0.39684817,0.009130080362707644,0.5669259761677113,2.6071446
SLC25A16,Excitatory_neuron,0.24019879,0.009130080362707644,0.5669259761677113,2.6071446
RUFY2,Excitatory_neuron,0.19611005,0.009130080362707644,0.5669259761677113,2.6071446
PPP2R1B,Excitatory_neuron,0.21685144,0.009130080362707644,0.5669259761677113,2.6071446
SEMA3F,Excitatory_neuron,1.5005614,0.009130080362707644,0.5669259761677113,2.6071446
FNBP1,Excitatory_neuron,0.2934107,0.009130080362707644,0.5669259761677113,2.6071446
HM13-IT1,Excitatory_neuron,1.3199726,0.009130080362707644,0.5669259761677113,2.6071446
TAFA2,Excitatory_neuron,0.2628411,0.009130080362707644,0.5669259761677113,2.6071446
HEATR5A,Excitatory_neuron,0.27073738,0.009130080362707644,0.5669259761677113,2.6071446
ANKRD13C,Excitatory_neuron,0.17714341,0.009130080362707644,0.5669259761677113,2.6071446
ABCA5,Excitatory_neuron,0.2131157,0.009130080362707644,0.5669259761677113,2.6071446
QSER1,Excitatory_neuron,0.27168044,0.009130080362707644,0.5669259761677113,2.6071446
ENSG00000289089,Excitatory_neuron,1.119151,0.010142458779760857,0.5669259761677113,2.5709343
WDR33,Excitatory_neuron,0.19134073,0.011253598947570614,0.5669259761677113,2.534724
USP9X,Excitatory_neuron,0.21974988,0.011253598947570614,0.5669259761677113,2.534724
DR1,Excitatory_neuron,0.2954817,0.011253598947570614,0.5669259761677113,2.534724
ZNF644,Excitatory_neuron,0.14434221,0.011253598947570614,0.5669259761677113,2.534724
SDR9C7,Excitatory_neuron,1.0920154,0.011253598947570614,0.5669259761677113,2.534724
CDK12,Excitatory_neuron,0.20483333,0.011253598947570614,0.5669259761677113,2.534724
ENSG00000259336,Excitatory_neuron,0.5068454,0.011253598947570614,0.5669259761677113,2.534724
PRC1-AS1,Excitatory_neuron,0.58252615,0.011253598947570614,0.5669259761677113,2.534724
SAP130,Excitatory_neuron,0.22076583,0.011253598947570614,0.5669259761677113,2.534724
ZNF660,Excitatory_neuron,0.3938529,0.011253598947570614,0.5669259761677113,2.534724
LRRN2,Excitatory_neuron,0.28912428,0.011253598947570614,0.5669259761677113,2.534724
CCAR1,Excitatory_neuron,0.3810646,0.011253598947570614,0.5669259761677113,2.534724
LIPJ,Excitatory_neuron,1.1746662,0.011253598947570614,0.5669259761677113,2.534724
ENSG00000259735,Excitatory_neuron,1.1070218,0.011253598947570614,0.5669259761677113,2.534724
ARID3A,Excitatory_neuron,0.4795103,0.011253598947570614,0.5669259761677113,2.534724
ZDHHC15,Excitatory_neuron,0.22796597,0.011253598947570614,0.5669259761677113,2.534724
ENSG00000286109,Excitatory_neuron,1.3571959,0.011253598947570614,0.5669259761677113,2.534724
LINC01937,Excitatory_neuron,1.2762504,0.011253598947570614,0.5669259761677113,2.534724
SIK3,Excitatory_neuron,0.11771736,0.011253598947570614,0.5669259761677113,2.534724
MED4,Excitatory_neuron,0.20320283,0.011253598947570614,0.5669259761677113,2.534724
SEC63,Excitatory_neuron,0.2022033,0.011253598947570614,0.5669259761677113,2.534724
ENSG00000264595,Excitatory_neuron,2.5579214,0.011253598947570614,0.5669259761677113,2.534724
RCOR3,Excitatory_neuron,0.18366158,0.011253598947570614,0.5669259761677113,2.534724
NPAT,Excitatory_neuron,0.22791646,0.011253598947570614,0.5669259761677113,2.534724
ARHGAP35,Excitatory_neuron,0.2553475,0.011253598947570614,0.5669259761677113,2.534724
PTEN,Excitatory_neuron,0.17170244,0.011253598947570614,0.5669259761677113,2.534724
TEKT5,Excitatory_neuron,0.88245106,0.011253598947570614,0.5669259761677113,2.534724
CADM1,Excitatory_neuron,0.1744794,0.011253598947570614,0.5669259761677113,2.534724
ENSG00000291099,Excitatory_neuron,0.46200347,0.011253598947570614,0.5669259761677113,2.534724
EPB41,Excitatory_neuron,0.46389252,0.011253598947570614,0.5669259761677113,2.534724
PCGF6,Excitatory_neuron,0.39082202,0.011253598947570614,0.5669259761677113,2.534724
ACSM1,Excitatory_neuron,1.3823673,0.011253598947570614,0.5669259761677113,2.534724
AHDC1,Excitatory_neuron,0.28114074,0.011253598947570614,0.5669259761677113,2.534724
STK31,Excitatory_neuron,0.6944498,0.011253598947570614,0.5669259761677113,2.534724
PCM1,Excitatory_neuron,0.17214656,0.011253598947570614,0.5669259761677113,2.534724
ZNF496,Excitatory_neuron,0.29558665,0.011253598947570614,0.5669259761677113,2.534724
MED12,Excitatory_neuron,0.29389516,0.011253598947570614,0.5669259761677113,2.534724
PHC2,Excitatory_neuron,0.13988143,0.011253598947570614,0.5669259761677113,2.534724
CTCF,Excitatory_neuron,0.16083837,0.011253598947570614,0.5669259761677113,2.534724
TP53BP1,Excitatory_neuron,0.11378312,0.011253598947570614,0.5669259761677113,2.534724
MIER3,Excitatory_neuron,0.32889023,0.011253598947570614,0.5669259761677113,2.534724
ATP1B2,Excitatory_neuron,0.6164155,0.011253598947570614,0.5669259761677113,2.534724
MROH7,Excitatory_neuron,0.5609915,0.011253598947570614,0.5669259761677113,2.534724
ENSG00000287720,Excitatory_neuron,0.59414166,0.011253598947570614,0.5669259761677113,2.534724
CENATAC,Excitatory_neuron,0.34655952,0.011253598947570614,0.5669259761677113,2.534724
LMNB1,Excitatory_neuron,0.31931138,0.011253598947570614,0.5669259761677113,2.534724
TPM2,Excitatory_neuron,0.85556406,0.011253598947570614,0.5669259761677113,2.534724
BIRC6,Excitatory_neuron,0.15204452,0.011253598947570614,0.5669259761677113,2.534724
ENSG00000275759,Excitatory_neuron,0.58801275,0.011253598947570614,0.5669259761677113,2.534724
PSD2,Excitatory_neuron,0.34911662,0.011253598947570614,0.5669259761677113,2.534724
ZNF286B,Excitatory_neuron,0.41757026,0.011253598947570614,0.5669259761677113,2.534724
CPSF1,Excitatory_neuron,0.38404194,0.011253598947570614,0.5669259761677113,2.534724
CALML6,Excitatory_neuron,1.3731484,0.011253598947570614,0.5669259761677113,2.534724
RAD54L2,Excitatory_neuron,0.2666997,0.011253598947570614,0.5669259761677113,2.534724
EIF4E3,Excitatory_neuron,0.18711635,0.011253598947570614,0.5669259761677113,2.534724
LRIG3,Excitatory_neuron,0.6533074,0.011253598947570614,0.5669259761677113,2.534724
NR2F1-AS1,Excitatory_neuron,0.16116574,0.011253598947570614,0.5669259761677113,2.534724
BCAR3,Excitatory_neuron,0.6627415,0.011253598947570614,0.5669259761677113,2.534724
